2026-03-30 21:51:35,724 | INFO     | app | Fine-tuning for 3 epoch(s) …
2026-03-30 21:51:35,724 | INFO     | model.qa_model | Loading tokenizer: distilbert-base-cased-distilled-squad
2026-03-30 21:51:36,125 | INFO     | model.qa_model | Loading model: distilbert-base-cased-distilled-squad
2026-03-30 21:51:36,572 | INFO     | model.qa_model | Model device: cpu | params: 65,192,450
2026-03-30 21:51:36,678 | INFO     | model.qa_model | Starting fine-tuning for 3 epoch(s) …
2026-03-30 22:24:28,435 | INFO     | model.qa_model | Fine-tuned model saved to C:\Users\deept\Downloads\QUESTIONING_ANSWER\model\checkpoints\finetuned-qa
2026-03-30 22:27:00,170 | INFO     | app | Evaluating on C:\Users\deept\Downloads\QUESTIONING_ANSWER\data\sample_dataset.json …
2026-03-30 22:27:00,173 | INFO     | data.dataset_loader | Loaded 801 QA samples from C:\Users\deept\Downloads\QUESTIONING_ANSWER\data\sample_dataset.json
2026-03-30 22:27:04,061 | INFO     | model.inference | Initialising QA pipeline …
2026-03-30 22:27:05,326 | INFO     | model.qa_model | Inference pipeline ready (model=distilbert-base-cased-distilled-squad)
2026-03-30 22:28:13,991 | INFO     | app | Metrics saved to C:\Users\deept\Downloads\QUESTIONING_ANSWER\evaluation\results.json
2026-03-30 22:28:40,489 | INFO     | app | Starting QA API on http://0.0.0.0:8000
2026-03-30 22:28:40,991 | INFO     | qa_api | Warming up QA model ...
2026-03-30 22:28:44,698 | INFO     | model.inference | Initialising QA pipeline …
2026-03-30 22:28:46,231 | INFO     | model.qa_model | Inference pipeline ready (model=distilbert-base-cased-distilled-squad)
2026-03-30 22:28:47,492 | INFO     | qa_api | Model ready.
2026-03-30 22:30:49,977 | INFO     | qa_api | GET /docs -> 200 (0.8 ms)
2026-03-30 22:30:50,218 | INFO     | qa_api | GET /openapi.json -> 200 (25.0 ms)
2026-03-30 22:33:49,315 | INFO     | qa_api | GET / -> 404 (1.0 ms)
2026-03-30 22:33:49,483 | INFO     | qa_api | GET /favicon.ico -> 404 (0.5 ms)
2026-03-30 22:37:04,573 | INFO     | qa_api | OPTIONS /ask -> 200 (0.7 ms)
2026-03-30 22:37:04,735 | INFO     | qa_api | POST /ask -> 200 (163.2 ms)
2026-03-30 22:37:18,963 | INFO     | qa_api | OPTIONS /ask -> 200 (0.3 ms)
2026-03-30 22:37:19,078 | INFO     | qa_api | POST /ask -> 200 (118.0 ms)
2026-03-30 22:38:02,427 | INFO     | qa_api | OPTIONS /ask -> 200 (0.4 ms)
2026-03-30 22:38:02,555 | INFO     | qa_api | POST /ask -> 200 (119.9 ms)
